State,County,Jurisdiction,Updated,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,Gen.Govt,Schools,Other,
AR,Benton,Bentonville,1/30/05,,"$3,598",$504,,"$1,371","$1,723",,,,$504,,,,,AR,Benton,Bentonville,,"$1,995",$373,,$320,"$1,302",,,,$373,,,,,AR,Benton,Bentonville,,$950,$455,,$219,$276,,,,$455,,,,,AR,Benton,Bentonville,,"$1,144",$649,,$219,$276,,,,$649,,,,,AR,Benton,Bentonville,,$915,$420,,$219,$276,,,,$420,,,,,
AR,Faulkner,Conway,1/5/05,,"$1,698","$1,698","$1,039",,,,$659,,,,,,,AR,Faulkner,Conway,,"$1,218","$1,218",$771,,,,$447,,,,,,,AR,Faulkner,Conway,,"$1,915","$1,915","$1,915",,,,,,,,,,,AR,Faulkner,Conway,,"$1,280","$1,280","$1,280",,,,,,,,,,,AR,Faulkner,Conway,,$808,$808,$808,,,,,,,,,,,
AR,Washington,Fayetteville,1/5/05,,"$1,143",,,$308,$835,,,,,,,,,AR,Washington,Fayetteville,,$812,,,$219,$593,,,,,,,,,AR,Washington,Fayetteville,,$183,,,$49,$134,,,,,,,,,AR,Washington,Fayetteville,,$183,,,$49,$134,,,,,,,,,AR,Washington,Fayetteville,,$183,,,$49,$134,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,Cochise,Sierra Vista,1/5/05,,"$1,500","$1,500",,,,,"$1,500",,,,,,,AZ,Cochise,Sierra Vista,,"$1,500","$1,500",,,,,"$1,500",,,,,,,AZ,Cochise,Sierra Vista,,,,,,,,,,,,,,,AZ,Cochise,Sierra Vista,,,,,,,,,,,,,,,AZ,Cochise,Sierra Vista,,,,,,,,,,,,,,,
AZ,Gila,Payson,1/15/04,,"$5,032","$1,247",$600,"$3,785",,,$647,,,,,,,AZ,Gila,Payson,,"$2,523",,,"$2,523",,,,,,,,,,AZ,Gila,Payson,,$505,,,$505,,,,,,,,,,AZ,Gila,Payson,,$757,,,$757,,,,,,,,,,AZ,Gila,Payson,,$505,,,$505,,,,,,,,,,
AZ,Gila,Sedona,1/5/05,,"$8,276","$3,776",$811,,"$4,500",$369,"$2,377",,,$66,$153,,,AZ,Gila,Sedona,,"$3,460","$2,804",$534,,$656,$137,"$1,914",,,$66,$153,,,AZ,Gila,Sedona,,"$3,533","$2,813","$2,349",,$720,$112,$112,,,$208,$32,,,AZ,Gila,Sedona,,"$3,533","$2,813","$2,349",,$720,$112,$112,,,$208,$32,,,AZ,Gila,Sedona,,"$1,437",$717,$400,,$720,$126,$126,,,$33,$32,,,
AZ,Maricopa,Avondale,1/5/05,,"$9,999","$3,456",$873,"$3,289","$3,254",,$791,$264,$489,$187,$585,,$267,AZ,Maricopa,Avondale,,"$3,692","$2,829",$604,$503,$359,,$669,$223,$413,$158,$495,,$267,AZ,Maricopa,Avondale,,"$6,056","$5,340","$2,506",$358,$358,,,,$343,$380,$411,,"$1,700",AZ,Maricopa,Avondale,,"$4,383","$3,667",$831,$358,$358,,,,$460,$126,$550,,"$1,700",AZ,Maricopa,Avondale,,"$3,702","$2,986",$512,$358,$358,,,,$317,$77,$380,,"$1,700",
AZ,Maricopa,Buckeye,1/5/05,,"$4,963",$380,,"$1,331","$3,252",,,,$380,,,,,AZ,Maricopa,Buckeye,,"$1,197",$344,,$311,$542,,,,$344,,,,,AZ,Maricopa,Buckeye,,$957,$224,,$213,$520,,,,$224,,,,,AZ,Maricopa,Buckeye,,"$1,037",$304,,$213,$520,,,,$304,,,,,AZ,Maricopa,Buckeye,,$932,$199,,$213,$520,,,,$199,,,,,
AZ,Maricopa,Chandler,1/5/05,,"$9,576","$3,943","$1,919","$4,079","$1,554",,"$1,429",$86,$125,$163,$221,,,AZ,Maricopa,Chandler,,"$7,367","$2,836","$1,260","$3,485","$1,046",,$996,$72,$108,$163,$237,,,AZ,Maricopa,Chandler,,"$4,991","$4,207","$4,057",$592,$192,,,,$30,$50,$70,,,AZ,Maricopa,Chandler,,"$3,265","$2,481","$2,331",$592,$192,,,,$30,$50,$70,,,AZ,Maricopa,Chandler,,"$2,616","$1,832","$1,682",$592,$192,,,,$30,$50,$70,,,
