,,,,"Single-Family Unit (3-BR, 2,000 sf, on 10,000 sq. ft. lot at density of 4 UPA and value of $200,000)",,,,,,,,,,,,,,,,,"Multi-Family Unit (2 bedroom, 1,000 sq. ft. unit, density of 12 UPA; $100,000 value; 7-2"" meters (2 for irrigation) for 240 unit complex)",,,,,,,,,,,,,,,,,"Retail per 1,000 sq. ft. (100,001 sq. ft. shopping center; 0.15 FAR; 3"" meter)",,,,,,,,,,,,,,,,,"Office per 1,000 sq. ft. (100,001 sq. ft. general office building; 0.25 FAR; 3"" meter)",,,,,,,,,,,,,,,,,"Industrial per 1,000 sq. ft. (100,001 sq. ft. building; 0.15 FAR; 3"" meter)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,County,Jurisdiction,Updated,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,,,,,,,,,,,,,,,
AR,Benton,Bentonville,10/6/10,,"$3,789","$1,306",,"$1,366","$1,117",,$791,,$515,,,,,AR,Benton,Bentonville,,"$1,122",$938,,$116,$68,,$568,,$370,,,,,AR,Benton,Bentonville,,$528,$180,,$191,$156,,,,$180,,,,,AR,Benton,Bentonville,,$658,$310,,$191,$156,,,,$310,,,,,AR,Benton,Bentonville,,$538,$190,,$191,$156,,,,$190,,,,,,,,,,,,,,,,,,,
AR,Benton,Lowell,10/6/10,,"$1,504",$504,,,"$1,000",,,,$504,,,,,AR,Benton,Lowell,,"$1,173",$373,,,$800,,,,$373,,,,,AR,Benton,Lowell,,$504,$455,,,$49,,,,$455,,,,,AR,Benton,Lowell,,$698,$649,,,$49,,,,$649,,,,,AR,Benton,Lowell,,$469,$420,,,$49,,,,$420,,,,,,,,,,,,,,,,,,,
AR,Faulkner,Conway,10/6/10,,"$1,698","$1,698","$1,039",,,,$659,,,,,,,AR,Faulkner,Conway,,"$1,218","$1,218",$771,,,,$447,,,,,,,AR,Faulkner,Conway,,"$1,915","$1,915","$1,915",,,,,,,,,,,AR,Faulkner,Conway,,"$1,280","$1,280","$1,280",,,,,,,,,,,AR,Faulkner,Conway,,$808,$808,$808,,,,,,,,,,,,,,,,,,,,,,,,,
AR,Washington,Fayetteville,10/6/10,,"$2,155",$312,,$975,$868,,,,$150,$162,,,,AR,Washington,Fayetteville,,"$1,623",$312,,$693,$618,,,,$150,$162,,,,AR,Washington,Fayetteville,,$975,$681,,$156,$138,,,,$293,$388,,,,AR,Washington,Fayetteville,,$975,$681,,$156,$138,,,,$293,$388,,,,AR,Washington,Fayetteville,,$566,$272,,$156,$138,,,,$117,$155,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,Cochise,Sierra Vista,10/6/10,,"$4,818","$4,818","$1,454",,,,"$1,888",$579,$414,$483,,,,AZ,Cochise,Sierra Vista,,"$3,345","$3,345","$1,021",,,,"$1,304",$400,$287,$333,,,,AZ,Cochise,Sierra Vista,,"$3,130","$3,130","$2,670",,,,,,$230,$230,,,,AZ,Cochise,Sierra Vista,,"$1,230","$1,230","$1,080",,,,,,$70,$80,,,,AZ,Cochise,Sierra Vista,,$720,$720,$640,,,,,,$40,$40,,,,,,,,,,,,,,,,,,
AZ,Gila,Sedona,10/6/10,,"$9,905","$9,905","$1,939",,,$671,"$6,718",,,$313,$264,,,AZ,Gila,Sedona,,"$7,859","$7,859","$1,362",, ,$251,"$5,752",,,$268,$226,,,AZ,Gila,Sedona,,"$8,197","$8,197","$6,910",,,$517, ,,,$500,$270,,,AZ,Gila,Sedona,,"$3,200","$3,200","$2,300",,,$310, ,,,$180,$410,,,AZ,Gila,Sedona,,"$2,307","$2,307","$1,410",,,$517, ,,,$100,$280,,,,,,,,,,,,,,,,,
AZ,Maricopa,Avondale,10/6/10,,"$18,021","$7,277","$1,857","$5,251","$5,493",,"$2,501",$346,$996,$344,$929,,$304,AZ,Maricopa,Avondale,,"$7,308","$5,167","$1,137","$1,225",$916,,"$1,970",$273,$785,$271,$731,, ,AZ,Maricopa,Avondale,,"$8,091","$6,934","$3,960",$562,$595,,,,$723,"$1,380",$871,, ,AZ,Maricopa,Avondale,,"$4,914","$3,757","$1,286",$562,$595,,,,"$1,067",$411,$993,, ,AZ,Maricopa,Avondale,,"$3,325","$2,168",$672,$562,$595,,,,$668,$214,$614,, ,,,,,,,,,,,,,,,
