State,County,Jurisdiction,Updated,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,,,,,,,,,,,,,
AR,Benton,Bentonville,2/19/19,,"$3,234","$3,234",,,,,"$2,192",$178,$318,$546,,,,AR,Benton,Bentonville,,"$2,037","$2,037",,,,,"$1,381",$112,$200,$344,,,,AR,Benton,Bentonville,,$972,$972,,,,,,,$357,$615,,,,AR,Benton,Bentonville,,$368,$368,,$0,$0,,,,$135,$233,,,,AR,Benton,Bentonville,,$128,$128,,$0,$0,,,,$47,$81,,,,,,,,,,,,,,,,
AR,Benton,Lowell,2/19/19,,"$1,504",$504,,,"$1,000",,,,$504,,,,,AR,Benton,Lowell,,"$1,173",$373,,,$800,,,,$373,,,,,AR,Benton,Lowell,,$504,$455,,,$49,,,,$455,,,,,AR,Benton,Lowell,,$698,$649,,,$49,,,,$649,,,,,AR,Benton,Lowell,,$469,$420,,,$49,,,,$420,,,,,,,,,,,,,,,,,
AR,Faulkner,Conway,2/19/19,,"$1,698","$1,698","$1,039",,,,$659,,,,,,,AR,Faulkner,Conway,,"$1,218","$1,218",$771,,,,$447,,,,,,,AR,Faulkner,Conway,,"$1,915","$1,915","$1,915",,,,,,,,,,,AR,Faulkner,Conway,,"$1,280","$1,280","$1,280",,,,,,,,,,,AR,Faulkner,Conway,,$808,$808,$808,,,,,,,,,,,,,,,,,,,,,,,
AR,Washington,Fayetteville,2/19/19,,"$2,155",$312,,$971,$872,,,,$150,$162,,,,AR,Washington,Fayetteville,,"$1,623",$312,,$691,$620,,,,$150,$162,,,,AR,Washington,Fayetteville,,$976,$681,,$155,$140,,,,$293,$388,,,,AR,Washington,Fayetteville,,$976,$681,,$155,$140,,,,$293,$388,,,,AR,Washington,Fayetteville,,$567,$272,,$155,$140,,,,$117,$155,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,Cochise,Sierra Vista,1/23/19,,"$3,227","$3,227","$1,981",,,,$624,,$263,$359,,,,AZ,Cochise,Sierra Vista,,"$1,894","$1,894","$1,159",,,,$368,,$155,$212,,,,AZ,Cochise,Sierra Vista,,"$3,670","$3,670","$3,140",,,,,,$190,$340,,,,AZ,Cochise,Sierra Vista,,"$1,960","$1,960","$1,530",,,,,,$90,$340,,,,AZ,Cochise,Sierra Vista,,$980,$980,$770,,,,,,$40,$170,,,,,,,,,,,,,,,,
AZ,Gila,Sedona,1/23/19,,"$5,548","-$4,756","$1,216",,"$10,304",$581,"$3,627",,,$511,$194,,,AZ,Gila,Sedona,,"$4,829","$4,829",$954,,,$218,"$3,236",,,$466,$173,,,AZ,Gila,Sedona,,"$3,443","$3,443","$2,660",,,$73, ,,,$630,$80,,,AZ,Gila,Sedona,,"$1,613","$1,613","$1,150",,,$73, ,,,$250,$140,,,AZ,Gila,Sedona,,"$1,053","$1,053",$720,,,$73, ,,,$160,$100,,,,,,,,,,,,,,,
AZ,Maricopa,Avondale,1/23/19,,"$17,707","$5,383","$2,945","$4,651","$7,673",,$796,$179,$607,$499,$357,,,AZ,Maricopa,Avondale,,"$11,881","$4,072","$2,058",$136,"$7,673",,$658,$148,$501,$412,$295,, ,AZ,Maricopa,Avondale,,"$7,475","$6,160","$3,660",$496,$819,,$820,$180,$620,$510,$370,, ,AZ,Maricopa,Avondale,,"$2,930","$1,615",$158,$496,$819,,$240,$50,$917,$150,$100,, ,AZ,Maricopa,Avondale,,"$1,815",$500,$100,$496,$819,,$130,$30,$100,$80,$60,, ,,,,,,,,,,,,,
AZ,Maricopa,Buckeye,1/23/19,,"$16,504","$3,901",$189,"$6,475","$6,128",,"$1,374",$240,,,,,"$2,098",AZ,Maricopa,Buckeye,,"$3,444","$3,077",$176,$189,$179,,"$1,074",$188,,,,,"$1,639",AZ,Maricopa,Buckeye,,"$1,605","$1,479",$318,$65,$61,,$109,$24,,,,,"$1,028",AZ,Maricopa,Buckeye,,"$1,332","$1,206",$137,$65,$61,,$182,$39,,,,,$848,AZ,Maricopa,Buckeye,,$558,$432,$127,$65,$61,,$49,$11,,,,,$245,,,,,,,,,,,,,
AZ,Maricopa,Chandler,1/23/19,,"$13,829","$5,571","$3,869","$4,234","$4,024",,"$1,186",$61,$218,$127,,,$110,AZ,Maricopa,Chandler,,"$7,072","$3,448","$2,190","$1,684","$1,940",,$880,$44,$161,$94,,,$79,AZ,Maricopa,Chandler,,"$6,832","$5,510","$5,040",$678,$644,,,,$220,$130,,,$120,AZ,Maricopa,Chandler,,"$5,752","$4,430","$4,040",$678,$644,,,,$200,$110,,,$80,AZ,Maricopa,Chandler,,"$2,572","$1,250","$1,170",$678,$644,,,,$40,$20,,,$20,,,,,,,,,,,,,
AZ,Maricopa,Fountain Hills,1/23/19,,"$1,601","$1,601",,,,,"$1,301",,$300,,,,,AZ,Maricopa,Fountain Hills,,"$1,601","$1,601",,,,,"$1,301",,$300,,,,,AZ,Maricopa,Fountain Hills,,$243,$243,,,,,,,$243,,,,,AZ,Maricopa,Fountain Hills,,$243,$243,,,,,,,$243,,,,,AZ,Maricopa,Fountain Hills,,$243,$243,,,,,,,$243,,,,,,,,,,,,,,,,,
AZ,Maricopa,Gilbert,1/23/19,,"$16,999","$8,155",$450,"$6,286","$2,558",,"$4,081",,,,"$1,155",,"$2,469",AZ,Maricopa,Gilbert,,"$6,853","$5,592",$296,$977,$284,,"$2,805",,,,$794,,"$1,697",AZ,Maricopa,Gilbert,,"$4,305","$2,890","$1,080","$1,006",$409,,$500,,,,$300,,"$1,010",AZ,Maricopa,Gilbert,,"$4,355","$2,940",$650,"$1,006",$409,,$700,,,,$400,,"$1,190",AZ,Maricopa,Gilbert,,"$2,715","$1,300",$470,"$1,006",$409,,,,,,$200,,$630,,,,,,,,,,,,,
