State,County,Jurisdiction,Updated,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other,State,County,Jurisdiction,,Total ,Non-Util,Roads,Water,Sewer,Drain,Parks,Library,Fire,Police,GenGov,Schools,Other
AR,Benton,Bentonville,9/12/09,,"$3,789","$1,306",,"$1,366","$1,117",,$791,,$515,,,,,AR,Benton,Bentonville,,"$1,122",$938,,$116,$68,,$568,,$370,,,,,AR,Benton,Bentonville,,$528,$180,,$191,$156,,,,$180,,,,,AR,Benton,Bentonville,,$658,$310,,$191,$156,,,,$310,,,,,AR,Benton,Bentonville,,$538,$190,,$191,$156,,,,$190,,,,
AR,Benton,Lowell,9/12/09,,"$1,504",$504,,,"$1,000",,,,$504,,,,,AR,Benton,Lowell,,"$1,173",$373,,,$800,,,,$373,,,,,AR,Benton,Lowell,,$504,$455,,,$49,,,,$455,,,,,AR,Benton,Lowell,,$698,$649,,,$49,,,,$649,,,,,AR,Benton,Lowell,,$469,$420,,,$49,,,,$420,,,,
AR,Faulkner,Conway,9/12/09,,"$1,698","$1,698","$1,039",,,,$659,,,,,,,AR,Faulkner,Conway,,"$1,218","$1,218",$771,,,,$447,,,,,,,AR,Faulkner,Conway,,"$1,915","$1,915","$1,915",,,,,,,,,,,AR,Faulkner,Conway,,"$1,280","$1,280","$1,280",,,,,,,,,,,AR,Faulkner,Conway,,$808,$808,$808,,,,,,,,,,
AR,Washington,Fayetteville,9/12/09,,"$1,455",$312,,$308,$835,,,,$150,$162,,,,AR,Washington,Fayetteville,,"$1,124",$312,,$219,$593,,,,$150,$162,,,,AR,Washington,Fayetteville,,$864,$681,,$49,$134,,,,$293,$388,,,,AR,Washington,Fayetteville,,$864,$681,,$49,$134,,,,$293,$388,,,,AR,Washington,Fayetteville,,$455,$272,,$49,$134,,,,$117,$155,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,Cochise,Sierra Vista,9/12/09,,"$4,818","$4,818","$1,454",,,,"$1,888",$579,$414,$483,,,,AZ,Cochise,Sierra Vista,,"$3,345","$3,345","$1,021",,,,"$1,304",$400,$287,$333,,,,AZ,Cochise,Sierra Vista,,"$3,130","$3,130","$2,670",,,,,,$230,$230,,,,AZ,Cochise,Sierra Vista,,"$1,230","$1,230","$1,080",,,,,,$70,$80,,,,AZ,Cochise,Sierra Vista,,$720,$720,$640,,,,,,$40,$40,,,
AZ,Gila,Sedona,9/12/09,,"$9,905","$9,905","$1,939",,,$671,"$6,718",,,$313,$264,,,AZ,Gila,Sedona,,"$7,859","$7,859","$1,362",, ,$251,"$5,752",,,$268,$226,,,AZ,Gila,Sedona,,"$8,197","$8,197","$6,910",,,$517, ,,,$500,$270,,,AZ,Gila,Sedona,,"$3,200","$3,200","$2,300",,,$310, ,,,$180,$410,,,AZ,Gila,Sedona,,"$2,307","$2,307","$1,410",,,$517, ,,,$100,$280,,
AZ,Maricopa,Avondale,9/12/09,,"$18,021","$7,277","$1,857","$5,251","$5,493",,"$2,501",$346,$996,$344,$929,,$304,AZ,Maricopa,Avondale,,"$7,308","$5,167","$1,137","$1,225",$916,,"$1,970",$273,$785,$271,$731,, ,AZ,Maricopa,Avondale,,"$8,091","$6,934","$3,960",$562,$595,,,,$723,"$1,380",$871,, ,AZ,Maricopa,Avondale,,"$4,914","$3,757","$1,286",$562,$595,,,,"$1,067",$411,$993,, ,AZ,Maricopa,Avondale,,"$3,325","$2,168",$672,$562,$595,,,,$668,$214,$614,, 
AZ,Maricopa,Buckeye,9/25/08,,"$7,412","$3,648",$319,"$2,302","$1,462",,"$1,446",$252,$964,$417,$250,,,AZ,Maricopa,Buckeye,,"$3,179","$2,679",$166,$347,$153,,"$1,092",$190,$728,$315,$188,,,AZ,Maricopa,Buckeye,,"$4,741","$4,354","$1,314",$240,$148,,,,$731,"$2,126",$183,,,AZ,Maricopa,Buckeye,,"$2,902","$2,515",$445,$240,$148,,,,"$1,080",$720,$270,,,AZ,Maricopa,Buckeye,,"$1,840","$1,453",$232,$240,$148,,,,$676,$376,$169,,
AZ,Maricopa,Chandler,9/12/09,,"$22,059","$10,453","$3,983","$6,167","$5,439",,"$5,057",$251,$577,$268,$317,,,AZ,Maricopa,Chandler,,"$12,263","$7,417","$2,446","$2,356","$2,490",,"$3,873",$192,$442,$221,$243,,,AZ,Maricopa,Chandler,,"$10,731","$8,880","$7,390",$981,$870,,,,$720,$370,$400,,,AZ,Maricopa,Chandler,,"$8,871","$7,020","$5,880",$981,$870,,,,$550,$280,$310,,,AZ,Maricopa,Chandler,,"$3,881","$2,030","$1,660",$981,$870,,,,$180,$90,$100,,
